data_id,source_id,age,production,birth_order,ethnicity,sex
52326,Marchman,17,103,Second,Black,Male
52327,Marchman,28,2,NA,White,Male
52328,Marchman,27,460,First,White,Male
52329,Marchman,28,463,Second,White,Male
52330,Marchman,29,363,First,White,Male
52331,Marchman,21,189,Second,Other,Female
52332,Marchman,29,630,First,Asian,Female
52333,Marchman,25,217,Fourth,Black,Female
52334,Marchman,28,500,NA,Hispanic,Female
52335,Marchman,27,568,NA,Black,Female
52336,Marchman,29,517,First,White,Female
52337,Marchman,30,366,Second,Hispanic,Female
52338,Marchman,30,331,First,Black,Female
52339,Marchman,30,394,First,White,Female
52340,Marchman,30,216,Second,White,Female
52341,Marchman,30,208,Second,White,Female
52342,Marchman,30,570,Third,White,Female
52343,Marchman,30,569,First,White,Female
52344,Marchman,30,652,First,White,Female
52345,Marchman,30,512,First,White,Female
52346,Marchman,30,626,First,White,Female
52347,Marchman,30,602,First,White,Female
52348,Marchman,26,213,Second,White,Male
52349,Marchman,25,324,First,White,Female
52350,Marchman,25,283,Fourth,White,Female
52351,Marchman,25,366,Second,Hispanic,Female
52352,Marchman,28,324,First,White,Male
52353,Marchman,25,506,First,White,Male
52354,Marchman,26,586,Second,White,Female
52355,Marchman,26,579,First,White,Female
52356,Marchman,26,83,First,White,Male
52357,Marchman,25,471,First,White,Male
52358,Marchman,26,471,First,White,Female
52359,Marchman,25,411,Second,White,Female
52360,Marchman,25,476,Second,White,Female
52361,Marchman,25,639,First,Hispanic,Female
52362,Marchman,18,101,Second,White,Male
52363,Marchman,18,82,Second,White,Male
52364,Marchman,18,467,Second,Hispanic,Female
52365,Marchman,18,36,First,White,Male
52366,Marchman,18,18,First,White,Male
52367,Marchman,18,158,First,White,Female
52368,Marchman,18,42,Second,White,Male
52369,Marchman,18,72,Second,White,Male
52370,Marchman,18,204,Second,White,Female
52371,Marchman,18,114,First,White,Male
